,eda+bvp_XAp0,eda+bvp_XAp1,eda+bvp_XAp2,eda+bvp_XCond1,eda+bvp_XCond2,eda+bvp_XDist,eda+bvp_XFuzz1,eda+bvp_XFuzz2,eda+bvp_XK2_1,eda+bvp_XK2_2,eda+bvp_XPermEn,eda+bvp_XSamp0,eda+bvp_XSamp1,eda+bvp_XSamp2,eda+bvp_XSpec
567,0.16007953442666006,-0.02406539277265602,0.00018999019066721044,0.8543187345959999,0.7980419117644092,0.6875329583505935,2.607146271310272,1.6391336514695878,1.1826294119679526,0.9976056799174854,0.6357360191111145,1.7603900094819978,0.8673098389665539,0.7098969518040091,0.769958754843764
568,0.04238476976821604,-0.0030167933580657665,1.940115518793634e-05,0.9154940124190579,0.8816177540176725,0.6652129041853951,2.6473647339942783,2.2105870070903832,1.4832034523692947,1.3727709620012012,0.6309483474627791,2.1004609089039112,1.4671846803959085,1.229223315294823,0.9459595690077628
569,0.36960700013381415,-0.060500781214333006,-0.02447519485296622,0.8177199488160625,0.7793416700939445,0.6525946487872618,2.866042345848534,2.7769138840500642,1.101610372100459,0.8962978524816597,0.6468212168108125,1.4967542763964927,0.9670434101812725,0.8372527464794515,0.7222529619383263
570,0.24653192798779053,-0.017914170739301787,-0.0008509815098214704,0.8235145321547522,0.775115727989555,0.6652491184480445,2.7939035610771352,1.3602338747277902,1.6315687689900282,2.2120968888197834,0.6425374456860184,1.268254568304991,1.019551387262467,0.7617960278992638,0.5624181645656722
571,0.28711629277422007,-0.041430592967008614,-0.02996354877682833,0.4853615193267016,0.4520028445583317,0.4141703287121688,2.1431829300943472,1.224536854246434,1.1075779889993818,1.37763212000961,0.6727386042041725,0.8824799250564046,0.750909208200209,0.5099156020901754,0.5455757954325549
572,0.6543035185209232,-0.1363821614023586,-0.08598999937283214,0.8043167183687495,0.7733764621010397,0.5045910034654947,2.0575280791005603,1.5662342916456526,2.6073116851384643,2.837853190345326,0.6528756675646988,1.3640546188564466,2.158181091182765,2.16174413732081,0.7037150029141584
573,0.6566937653445736,-0.09840077158039498,-0.047548431472908506,0.8189188443960739,0.7990900780883347,0.5592697787993651,2.262568888324287,1.1249236882357039,2.304337266623476,2.3057596671432403,0.6425374456860184,1.9088927160429414,2.059112924136141,1.9547623756426644,0.7061534708941359
574,1.1836499036730592,-0.19491716664038083,-0.01024881666294941,1.0822624979154587,1.0726038033856065,0.6303137473531312,3.12327944450101,2.6083800100785095,2.3938581508335894,,0.6811855325194978,2.425003857054957,2.2408603976053905,inf,0.9453262191022029
575,1.1819427450601478,-0.205221490873782,-0.07548923371530225,1.1199814602571336,1.074547486882344,0.7647566181139551,2.456077588796295,2.1755902751524236,2.2714677611091783,,0.6684167106117298,1.9716839014222882,2.0249291723064773,4.043656045597163,0.9465456254220711
576,1.042267869812058,-0.13459077166641206,-0.053017444899758376,0.5810643978580584,0.535255710848348,0.5497062428348667,2.005344272720199,1.5676395973281307,2.9939485298360218,,0.6652988471865258,2.2352380195344357,2.6269772694435467,inf,0.9478160391242865
577,1.4396357807783322,-0.22639911344098662,-0.027936541163185398,1.0104698707151694,0.9075105071145747,0.6840598315171084,2.2209631041606364,2.0538937005335254,6.494338830465002,,0.6740851607140061,2.508653043518001,4.77177752074931,inf,0.9292340521239064
578,0.5774840934230586,-0.07584246438390992,-0.014630043585702612,1.2232077971890731,1.2051408908178738,0.7953193251996821,3.1230373814441514,5.276687826682963,2.0093622277983108,,0.6528756675646988,2.1019143975318944,1.6094379124341003,inf,0.9390231031718006
579,0.2753776544956342,-0.028253610541438844,-0.013476766985986093,0.9649831860135828,0.9410567760258232,0.6295086003744662,3.8668428507974757,16.282738319761425,1.100633922242439,0.8740495274148908,0.6668815377411301,1.2974291479912619,0.8243169681690521,0.43730953226400854,0.868761940892537
580,0.04895701486627224,0.01125442574501186,-0.0006444491133977548,0.7221106320856664,0.5399907351176529,0.5669661392043374,2.432591000789851,1.5114908293343636,0.3693552372041469,0.36308566135997555,0.6668815377411301,0.6836149789147926,0.27651154366366315,0.1540394330164204,0.8488817861356207
581,0.6643911353408639,-0.06829890484657561,-0.07025761543392488,0.8187014873964682,0.7644120745403233,0.592335292448537,3.143177617789737,2.8959811717607518,1.307529603355426,1.6765417132468978,0.6468212168108125,1.3018715166769443,1.1696583360694175,1.3070312069130832,0.6133993145547408
582,0.6750052700934143,-0.1410744252629263,-0.05768865765504485,0.8235078872527309,0.783380801621621,0.48997071576560297,3.021224600403944,2.5255370018855974,1.6526513936552214,1.2728978034355012,0.663668482632973,1.4820713165136594,1.4299327415096192,1.2869605533289246,0.7339670248407978
583,0.8824424408717831,-0.18023969864288814,-0.016545080630600534,0.7731440174202322,0.7526083110959344,0.6327341202667396,1.8749766997795836,1.7199173588098708,1.9524155107689267,2.0262722260311623,0.6652988471865258,1.9601781208530182,1.7336022118606291,2.104312821413795,0.9492152441042013
584,0.33447122362134457,-0.04893360335897411,-0.02380771085919177,0.8539936207032148,0.8002780617897063,0.5178307132325235,2.2778162804733184,1.839038719913475,1.692475604916161,1.914322144103164,0.6068309995095971,1.5848537068035617,1.3511432291188783,1.2793859546767166,0.6963337889245846
585,0.180134801011279,-0.02204024295377456,-0.0053676687012719874,0.7039897344169037,0.6826856511760994,0.6112704671617326,2.0909839645083483,1.3313938997935741,1.6817214258553896,1.415352186924108,0.6652988471865258,1.5183284625461344,1.5217040699044366,1.1552379483614903,0.951557171154457
586,0.47171868192354527,-0.08790551160445606,-0.035602734553693983,0.4128048388903693,0.38476536313300036,0.4793175340868711,1.8662637706564984,1.2337741499132124,2.44329522766808,,0.676637947632344,1.4873677832133267,2.287796039497622,4.021483213957229,0.8884827245183794
587,0.4975201213058597,-0.09502492801370692,-0.014440508457818928,1.1217250369632397,1.1158248802063977,0.764000136431212,2.14527144076923,2.0337956008623985,1.7172675075748272,1.7656905362910718,0.6584896970785714,1.6383519225987426,1.390822238177881,1.4606851787004733,0.8945214364145154
588,0.8214376509781591,-0.12686920275457705,-0.09347228741205676,1.0291335565016364,0.9597796616397432,0.7760505965122765,2.0475204248687717,1.2951219623025083,1.6737906699736536,2.037577455451605,0.6584896970785714,1.7720222035450233,1.4068319469736916,1.581022425230358,0.938881521158744
