,tempbvp_correlation
0,-0.014734001115154815
1,0.0015736736774371407
2,0.0011773425617768868
3,0.009860729622975946
4,0.004997424413868813
5,0.005474318227314859
6,-0.024662582284868673
7,0.0018417290340647819
8,0.012860458126033595
9,0.0014461059147371684
10,0.02943513591743493
11,0.0387360779979214
12,0.01497218280399794
13,-0.016946102345026116
14,0.04650581594135154
15,0.0097722670560787
16,-0.007180622878034048
17,-0.02305039800881376
18,-0.012246120595752079
19,0.07352655424439479
20,-0.003613589545221992
21,0.022486665243431195
22,-0.004819246395129223
23,0.028855019170178714
24,-0.030348899185418443
25,0.02422610850985617
26,0.007070814034346345
27,-0.029702364626607778
28,-0.04076473401512818
29,-0.02877349883730192
30,-0.0012476925989866542
31,0.01754277817778485
32,0.0116051516843422
33,0.014429049437864442
34,-0.0026900430555440308
35,-0.04674146759050133
36,-0.04185251977151819
37,-0.014759626417066985
38,-0.022013987589677122
39,0.0009101989142375759
40,-0.02064067024363979
41,-0.01189453143783844
42,-0.0020245971825232074
43,0.0005631407668367106
44,0.025803803689938044
45,-0.0034878321136248237
46,-0.02400580085535772
47,0.0011178104283248592
48,-0.04957617005222334
49,0.0031058280229013307
50,0.027446887475541547
51,-0.0019844925362831932
52,0.012723124524133515
53,0.0008594649744163346
54,-0.048931662263390845
55,0.005998199440636896
56,0.017337020355439135
57,-0.017289512256856435
58,-0.011489087488093823
59,0.06324332244378418
60,0.016023623856130695
61,-0.012350372539220812
62,0.015506058873721319
63,-0.019459150330985362
64,-0.08699207009459314
65,-0.013528809095683478
66,-0.028597865715171464
67,0.009015078072381782
68,-0.01297217507967949
69,-0.006974854967927739
70,-0.08748584344058938
71,-0.044133761091072615
72,-0.016048442418033167
73,-0.04623748664448662
74,0.01625205599724488
75,0.06991807742062044
76,-0.017344575410031794
77,-0.047492051238538266
78,-0.03354258126030168
79,0.03289897639060517
80,0.049789110723267506
81,-0.10584972066666569
82,0.05158604749054707
83,-0.0007268687257105267
84,0.007687698508310157
85,0.0004665234379444077
86,-0.02265865411363222
87,-0.01664041662739019
88,-0.03819688494231944
89,-0.08312840164941766
90,0.06593357119117907
91,0.057921174707126086
92,-0.01303205227185818
93,-0.043071828907445285
94,0.03435139393759002
95,-0.151304785354123
96,-0.05034708675073667
97,0.022905612517927595
98,-0.02463701656074664
99,0.04407483428943574
100,-0.3563331165235395
101,-0.014410345233749929
102,0.01042153893165157
103,0.10682062398292694
104,-0.05172806547778546
105,0.1292553441008171
106,-0.026387163149719083
107,0.020168927577489018
108,0.07391956263245367
109,0.04934256996656951
110,-0.008989961231301219
111,0.012357231224813072
112,-0.02359810345604358
113,0.002830592414147615
114,-0.010296000712353395
115,-0.00899958142283314
116,0.006331763199653062
117,0.02085587311806844
118,-0.04349818221777864
119,0.035526796079188114
120,-0.008219716224292743
121,0.07175320984349415
122,0.05672774360079148
123,0.027918847204331666
124,0.05728547920886525
125,-0.028576617865815064
126,0.06180122513868465
127,0.008625754146467931
