,hr+temp_XAp0,hr+temp_XAp1,hr+temp_XAp2,hr+temp_XCond1,hr+temp_XCond2,hr+temp_XDist,hr+temp_XFuzz1,hr+temp_XFuzz2,hr+temp_XK2_1,hr+temp_XK2_2,hr+temp_XPermEn,hr+temp_XSamp0,hr+temp_XSamp1,hr+temp_XSamp2,hr+temp_XSpec
874,,0.0,0.0,1.6732487403709317,1.024230566308566,0.8477761744209787,0.14671209201226204,0.28213799356732394,,,0.3338418249889409,inf,,,0.1703383325270857
875,,0.0,0.0,1.5057851838342937,0.8289175962652477,0.9370447105895835,0.059489688825012224,0.16600840523271032,,,0.38163879478178075,inf,,,0.16661854607749957
876,,0.0,0.0,1.577225516638421,1.0908601091099304,0.9360178076982527,0.18373588774773614,0.41264865143820517,,,0.38163879478178075,inf,,,0.16585058645995998
877,,0.0,0.0,1.7057741063628624,1.228501880678032,0.816241007644511,0.12385794226073821,0.23829808205020747,,,0.3338418249889409,inf,,,0.1651682445537191
878,,0.0,0.0,1.6984130060392486,1.1564057064964337,0.9275983652071311,0.06980204155506504,0.19291795510221635,,,0.45235697871908603,inf,,,0.1671430293408712
879,,0.0,0.0,1.751641794806161,1.0311830957713213,0.9189231401266855,0.13116425705914625,0.25368696673036806,,,0.38804190201132227,inf,,,0.1637822908259574
880,,0.0,0.0,1.6982179008528573,1.1694373494687558,0.9565600314436706,0.15174954695156373,0.3136617946454555,,,0.3751344627501719,inf,,,0.1682541669022998
881,,0.0,0.0,1.7239010022549295,1.3233130877648218,0.8218979950850118,0.08573034157542786,0.18828733564524597,,,0.41268473150466,inf,,,0.17144869628230835
882,,0.0,0.0,1.6869694868879253,1.2610416262193578,0.9016675244912004,0.09062338557446205,0.22116022870499225,,,0.43586655696697996,inf,,,0.16992047699092702
883,,0.0,0.0,1.518417199749736,1.3538468155498098,0.8700946044331023,0.08209435848256666,0.155266972805372,,,0.3943459996787778,inf,,,0.16460813001449723
884,,0.0,0.0,1.3622883971487099,0.9452674660989003,0.8953636693274011,0.05315747339921761,0.14188587941259984,,,0.47824363442641393,inf,,,0.15974933368782052
885,,0.0,0.0,1.7373324314523777,1.363167986521274,0.6587584087005015,0.08311230016293382,0.12804418931303976,,,0.42445136339222655,inf,,,0.15881611142587596
886,,0.0,0.0,1.1008141047958073,0.8326545911971093,0.8499279819564654,0.07295505484544164,0.17124820291374582,,,0.4732203808476458,inf,,,0.16157505257851096
887,,0.0,0.0,1.4357280206378584,1.1055509632893508,0.9368360748981198,0.19872057239830485,0.3875252939937234,,,0.48319206230712763,inf,,,0.15543095724791378
888,,0.0,0.0,1.703513253143931,1.2268041988572989,0.8951151450336674,0.2391915934501962,0.39179597052971804,,,0.45235697871908603,inf,,,0.16330744948893036
889,,0.0,0.0,1.47245253676281,1.0111590028646997,0.9887769278973448,0.1655989368675757,0.40758371633837087,,,0.3338418249889409,inf,,,0.16597870185306451
890,,0.0,0.0,1.7604064718290315,1.1040164669427135,0.9327803539177415,0.08755521265898226,0.18932574552858927,,,0.38804190201132227,inf,,,0.16367057820186795
891,,0.0,0.0,1.7581877383194426,1.151421929507655,0.970025876313582,0.0321463049983707,0.08969728991782044,,,0.44694259446804574,inf,,,0.1637737632824972
892,,0.0,0.0,1.4817314531905168,0.8503240532575737,0.9073072499349458,0.05115076094346648,0.12225256804983253,,,0.21876365787541036,inf,,,0.1630599262295462
893,,0.0,0.0,1.5635770135272946,0.977741930089783,0.8204202420521941,0.05310905739336041,0.07991940514248394,,,0.3943459996787778,inf,,,0.16533557484898861
894,,0.0,0.0,1.2494063932996922,0.7837881835905337,0.8433988795141006,0.041216651886334346,0.09475297798632848,,,0.48319206230712763,inf,,,0.16808482704815836
895,,0.0,0.0,1.5325630987440164,0.8434117749950698,0.6153200828943632,0.03512093469666394,0.07312999703399033,,,0.41861278947482794,inf,,,0.1679699527448489
896,,0.0,0.0,0.8788127400311677,0.2721845867346953,0.6572326997726766,0.16209663657405599,0.1450710175556386,,,0.41861278947482794,inf,,,0.16330754514067053
897,,0.0,0.0,1.757730481388485,0.9755619547624752,0.7506005932974561,0.06606218660898604,0.12588616270667724,,,0.3480560589391537,inf,,,0.16423627137828165
898,,0.0,0.0,1.3529810963640807,0.6694711699477705,0.9245648954238059,0.006783368868340842,0.02131373596227342,,,0.43586655696697996,inf,,,0.16457700038870357
899,,0.0,0.0,1.4412322086868212,1.3707402645294104,0.8570759683450305,0.004477605327534094,0.014039557493646321,,,0.44144624493110796,inf,,,0.1639437651450288
