,temp+acc_XAp0,temp+acc_XAp1,temp+acc_XAp2,temp+acc_XCond1,temp+acc_XCond2,temp+acc_XDist,temp+acc_XFuzz1,temp+acc_XFuzz2,temp+acc_XK2_1,temp+acc_XK2_2,temp+acc_XPermEn,temp+acc_XSamp0,temp+acc_XSamp1,temp+acc_XSamp2,temp+acc_XSpec
121,,0.0,0.0,0.5264672563250092,0.47031584545214694,0.32002064472255337,0.42220447712147274,0.2447765059974535,,,0.6233814453054027,inf,,,0.28181761833382907
122,,0.0,0.0,0.40458673637561515,0.309133434050034,0.22796531279921867,0.22236234449147052,0.10433022582130028,,,0.6425374456860184,inf,,,0.30192356971347173
123,,0.0,0.0,0.35410943702902825,0.3147723963236307,0.5161397384413834,0.11910499609258574,0.07982275912743116,,,0.6153451465759925,inf,,,0.29162536068016204
124,,0.0,0.0,0.3263038444315032,0.301623676952889,0.5662392952004311,0.11770919018170925,0.07360652983231489,,,0.6380535849069913,inf,,,0.2921806755291591
125,,0.0,0.0,0.3558067266275612,0.2964629856246075,0.2155252113888514,0.12862512057398118,0.07177306969052522,,,0.5947193981915972,inf,,,0.32039536919569983
126,,0.0,0.0,0.2396156170202637,0.2047722903047058,0.35341505386034183,0.11354204191241557,0.09372950780850525,,,0.6207552362147116,inf,,,0.3152568239335767
127,,0.0,0.0,0.13591914122205162,0.10740362542816329,0.2944887255830705,0.046985882096085195,0.058439989215526254,,,0.6180765742263259,inf,,,0.280384850099467
128,,0.0,0.0,0.2856430360978657,0.26972180286650754,0.16016301292766455,0.10859913943109453,0.06704160252189546,,,0.6357360191111145,inf,,,0.3219203530099644
129,,0.0,0.0,0.3058823988924419,0.2570425441425578,0.18606079072360435,0.11334883588341314,0.05764887752953275,,,0.6403206450210053,inf,,,0.3189286775197639
130,,0.0,0.0,0.18043082020570633,0.1536539527807882,0.21554274807001667,0.0199127231888117,0.014629436888191166,,,0.6468212168108125,inf,,,0.32056971899374365
131,,0.0,0.0,0.08467349851939515,0.059728109688386086,0.3004711286582752,0.010539507157698573,0.008679342317048888,,,0.6180765742263259,inf,,,0.3202208101289639
132,,0.0,0.0,1.2484893339434437,1.2115023956161546,0.7302419975658598,0.0011184684285435813,0.0016521664456086052,,,0.6180765742263259,inf,,,0.15858579326825786
133,,0.0,0.0,1.3212570857117758,1.30912225648183,0.7380691641787464,0.0007773241268789514,0.001229238349990796,,,0.6425374456860184,inf,,,0.16922614032067246
134,,0.0,0.0,0.2602946548662997,0.2067534879764399,0.44345651634111644,0.06212277925454633,0.031013118275585866,,,0.6684167106117298,inf,,,0.2929396044028764
135,,0.0,0.0,0.3659958530953685,0.2950980436509725,0.5063384144163406,0.07907467996107224,0.04639417667759575,,,0.5947193981915972,inf,,,0.31735390335997155
136,,0.0,0.0,0.2617858981715812,0.2365214307509311,0.2024675674206487,0.048962688989915404,0.040264328790212287,,,0.6038851895711802,inf,,,0.3414854422707701
137,,0.0,0.0,0.08467349851939517,0.061630632289506534,0.16229483468787054,0.01613322574145862,0.010370279549147557,,,0.62595550513784,inf,,,0.42136780931650697
138,,0.0,0.0,1.6580558036999198,1.0665250392316363,0.9083868891505406,0.003943072986552138,0.005884143286803671,,,0.6528756675646988,inf,,,0.18337166814081393
139,,0.0,0.0,1.4617333560600494,1.2924369651599648,0.832037661032504,0.0047226871361971175,0.007020363374412486,,,0.648888643467878,inf,,,0.15915461479865253
140,,0.0,0.0,0.10060391803536387,0.07533557027195667,0.4378866231688801,0.021760225577776567,0.010302370911084918,,,0.6233814453054027,inf,,,0.2564986088798698
141,,0.0,0.0,0.301952874573225,0.17435108843175773,0.11674356665949262,0.07588258940938362,0.022755023596700744,,,0.648888643467878,inf,,,0.34393897030993253
142,,0.0,0.0,0.5226710611199346,0.4618310998359257,0.24931762423604384,0.19276061580986167,0.04376579507212311,,,0.648888643467878,inf,,,0.29923056663795994
143,,0.0,0.0,0.28880672673473023,0.20183848996372894,0.19071518965179565,0.061130835994734005,0.028511754302076038,,,0.6207552362147116,inf,,,0.3338834346789056
144,,0.0,0.0,1.216804934953996,1.081546729534411,0.823867084514221,0.006448432512559298,0.009304571958975993,,,0.6528756675646988,inf,,,0.1939858417997465
145,,0.0,0.0,1.0357534992446056,1.0412123552411119,0.7746893320884165,0.0039051674518502653,0.006719107954372275,,,0.676637947632344,inf,,,0.16992812113844732
146,,0.0,0.0,1.4051709521314024,1.133207524310676,0.8063498611063289,0.002086445274258274,0.003023865997463878,,,0.6233814453054027,inf,,,0.16657793667419923
147,,0.0,0.0,1.3952098889053197,1.3284158045316918,0.8049414163811843,0.0017405852062273239,0.0026444375105283595,,,0.6357360191111145,inf,,,0.1741488443339691
148,,0.0,0.0,1.6311046656222954,1.2347676722033154,0.8803779663959425,0.0018791835573494814,0.0030805232585222365,,,0.6425374456860184,inf,,,0.17463534533795924
149,,0.0,0.0,1.5769642858784216,1.4809963752803723,0.8808170477854528,0.0012770781498126467,0.0025109482933420688,,,0.5978297680564633,inf,,,0.18798866513462836
150,,0.0,0.0,1.5044383376686563,1.2765564000095881,0.8485842786682535,0.001064892002206417,0.002052954043705973,,,0.6602640781246099,inf,,,0.1975153164319521
151,,0.0,0.0,1.6980121083627318,1.3333183083881903,0.8632280081101471,0.0011792072159936132,0.0020783970523756707,,,0.6528756675646988,inf,,,0.16823775237030628
152,,0.0,0.0,0.21103373620254545,0.1470397430541703,0.5180470394498735,0.013024264318873961,0.01836880839796369,,,0.6097226960127671,inf,,,0.23526971946001593
153,,0.0,0.0,0.19517169521930086,0.16409414480375567,0.3375544671444809,0.0152137732838023,0.018131868991441775,,,0.663668482632973,inf,,,0.3146194166105128
154,,0.0,0.0,0.106969059718312,0.0889782077540608,0.11498103187252585,0.007868108921182249,0.008609410066447293,,,0.6097226960127671,inf,,,0.4322253485826722
155,,0.0,0.0,0.08467349851939517,0.04844596627729612,0.1352849014432337,0.011058138750043474,0.010324922088967603,,,0.6233814453054027,inf,,,0.39469300376544786
156,,0.0,0.0,0.08929447972312814,0.04299309068201404,0.22993751228064613,0.012585541458312931,0.012076030295231922,,,0.6180765742263259,inf,,,0.35640390452252035
157,,0.0,0.0,0.07830835683644703,0.06607207159929201,0.31034839745735565,0.014428991126602085,0.019258122148976917,,,0.6357360191111145,inf,,,0.3128892894933533
