,eda+temp_XAp0,eda+temp_XAp1,eda+temp_XAp2,eda+temp_XCond1,eda+temp_XCond2,eda+temp_XDist,eda+temp_XFuzz1,eda+temp_XFuzz2,eda+temp_XK2_1,eda+temp_XK2_2,eda+temp_XPermEn,eda+temp_XSamp0,eda+temp_XSamp1,eda+temp_XSamp2,eda+temp_XSpec
995,,0.0,0.0,1.5958549224032863,1.0370771780002062,0.9028621415181873,0.0001818280275621721,0.0003385160608503258,,,0.468121228110369,inf,,,0.1634178985091528
996,,0.0,0.0,1.3696355471486052,1.2185775593674484,0.8481031297144703,0.0001414437589211865,0.00026650759498255837,,,0.5567373465730988,inf,,,0.16320472933493785
997,,0.0,0.0,1.3891556043908537,1.087191282277054,0.8244962098327633,0.0002042179091849366,0.0003687643151216146,,,0.5329562494928909,inf,,,0.16338564388166
998,,0.0,0.0,1.6477977632705714,0.9323194441467013,0.9283690421933283,0.0001688505447673198,0.0003227893100613192,,,0.524519217297268,inf,,,0.16354555482904065
999,,0.0,0.0,1.637849337735092,1.3385917305101485,0.9120735008423791,0.00017001525670464116,0.0003068931974823303,,,0.49759852643134905,inf,,,0.16332596231047344
1000,,0.0,0.0,1.3074793297708316,1.091654637503494,0.8193349870519968,0.0001537676205584793,0.00030516765273643143,,,0.49759852643134905,inf,,,0.16332135344281187
1001,,0.0,0.0,1.6821261054659227,1.0567898878305713,0.9171581151843887,0.00017950999948736332,0.00032650097101984,,,0.49759852643134905,inf,,,0.16338341834394596
1002,,0.0,0.0,1.6677450452425227,0.929132061020417,0.8889661908867815,0.00017198064450806559,0.0003227508030633865,,,0.5068466436745385,inf,,,0.16340059216684874
1003,,0.0,0.0,1.741936470646832,1.0108687535988765,0.9230793284891702,0.00017004159502207654,0.00034186639900342147,,,0.4880666971167561,inf,,,0.16353009463069265
1004,,0.0,0.0,1.5950858255641904,1.0179620718970166,0.8798505557441086,0.00016828784247685497,0.0003286494534172268,,,0.524519217297268,inf,,,0.16306672374546072
1005,,0.0,0.0,1.6318848342306862,1.1876371438906321,0.9095774651287049,0.00019764816047112074,0.0004171793726759637,,,0.4928685327679205,inf,,,0.16350541314522984
1006,,0.0,0.0,1.6508952247885154,0.8966613135610093,0.9531781483742242,0.00019177561880567195,0.0003623287794588063,,,0.5068466436745385,inf,,,0.16336318027172886
1007,,0.0,0.0,1.6905798411047657,1.1075592280580906,0.9344460297821156,0.00018173119409376547,0.00034187570565604787,,,0.48319206230712763,inf,,,0.16344684692192346
