,bvp+temp_XAp0,bvp+temp_XAp1,bvp+temp_XAp2,bvp+temp_XCond1,bvp+temp_XCond2,bvp+temp_XDist,bvp+temp_XFuzz1,bvp+temp_XFuzz2,bvp+temp_XK2_1,bvp+temp_XK2_2,bvp+temp_XPermEn,bvp+temp_XSamp0,bvp+temp_XSamp1,bvp+temp_XSamp2,bvp+temp_XSpec
642,5.010635294096255,-5.010635294096255,0.0,1.6406664102514945,1.5395589212077274,0.5782862298731989,1.482682458475751,0.8377229220251963,,,0.5113665138247345,5.0106352940962555,inf,,0.9552742417236186
643,5.703782474656203,-4.353887288987568,0.0,1.586125864338105,1.5294021455850537,0.6803482605871434,2.28208131657122,2.051185577809613,,,0.44144624493110796,5.973842945758163,inf,,0.9491075976846198
644,5.010635294096255,-5.010635294096255,0.0,1.6087738854792542,1.6017216261840486,0.5979017250805783,1.9890230156385955,1.2902218823880753,,,0.4928685327679205,5.0106352940962555,inf,,0.9529181682220857
645,,0.0,0.0,1.5585534138276111,1.5252025499179398,0.6501246565555996,2.1719546010424216,1.975649656508963,,,0.5604843169999094,inf,,,0.9531252245286572
646,3.521636763016836,-3.521636763016836,0.0,1.4356975177337266,1.423987362288733,0.6886820098824286,2.5134079831221707,1.6988675181831985,,,0.468121228110369,3.519980917652122,inf,,0.7851167101887544
647,4.987658937970125,-4.987658937970125,0.0,1.762904956004778,1.7868292052319403,0.743190331724543,2.905206975358239,2.857487734180007,,,0.4732203808476458,4.982695925407015,inf,,0.7931114374074367
648,3.9120230054281455,-3.9120230054281455,0.0,1.7220697267640932,1.711277839955399,0.651100150703665,2.1344392931972895,1.2668642079982968,,,0.4880666971167561,3.912023005428146,inf,,0.7485425202010744
649,4.956573279681832,-4.956573279681832,0.0,1.5872148334522607,1.5214271703605218,0.6992562442830187,2.233291841171837,1.8759598920181237,,,0.5329562494928909,4.946096772958684,inf,,0.9452783837986658
650,5.7037824746562,-5.7037824746562,0.0,1.2876558950450625,1.2119026956514711,0.7176680541722205,2.187728543669035,1.7707302629074695,,,0.5158180382284114,5.703782474656201,inf,,0.6904378155156026
651,3.751008216382649,-3.751008216382649,0.0,0.7327949122982045,0.7336424804746754,0.5778250664593789,1.8775152018575236,0.5399762568799138,,,0.3338418249889409,3.749809678177537,inf,,0.8030884423882964
652,5.0175667659018535,-5.0175667659018535,0.0,1.5713738170087739,1.5661347193928228,0.6843244835789394,2.2104561494770576,1.8601987330830148,,,0.5068466436745385,5.0156478359198005,inf,,0.8789460297532956
653,,0.0,0.0,1.7654761967584414,1.744898912264146,0.6186949879658923,1.774362127435689,1.7428816897614885,,,0.48319206230712763,inf,,,0.8542611261262787
654,,0.0,0.0,1.7207965054129515,1.6495580169269555,0.5987566766368705,1.927832850014303,2.088099534702696,,,0.524519217297268,inf,,,0.761022868619388
655,3.6252311422605286,-3.6252311422605286,0.0,1.2927535876891814,1.2618018534627353,0.7127120331354821,3.292161012086741,4.3687423739492655,,,0.44144624493110796,3.6251746137249428,inf,,0.866435867911344
656,,0.0,0.0,1.4764441843314884,1.4776949979580032,0.6887918074059425,2.3610414274583458,2.807842564715321,,,0.468121228110369,inf,,,0.8822937993329807
657,,0.0,0.0,1.5859239157553215,1.5708815632834492,0.7470005199834163,2.526844693906834,3.089315738281064,,,0.49759852643134905,inf,,,0.8591607228935909
658,5.7037824746562,-5.7037824746562,0.0,1.3674335747003965,1.353286093881856,0.8391541479480172,2.1801688317318995,2.4188585071254787,,,0.5068466436745385,5.703782474656201,inf,,0.8386843372642996
659,,0.0,0.0,1.2357802646206575,1.2022176472314265,0.8399492439907774,1.93178163213018,2.7090311974966825,,,0.41268473150466,inf,,,0.8418156904834024
660,,0.0,0.0,1.5010814882385592,1.4815153029231347,0.7755962783383479,1.8830300685183086,1.9325935286231606,,,0.4629450596409901,inf,,,0.8667794827125874
661,,0.0,0.0,1.295621746998187,1.2683391214738724,0.7248218997864366,1.822708824295525,2.181083304113786,,,0.4732203808476458,inf,,,0.8196342181680244
662,,0.0,0.0,1.4204915695372795,1.4244885593585712,0.486455865742064,1.9975208043321553,3.0723037722979774,,,0.45235697871908603,inf,,,0.8793026675031719
663,,0.0,0.0,1.5103151075869983,1.5036336156227312,0.8028945974381112,1.951957859360864,2.18514680730374,,,0.47824363442641393,inf,,,0.7650552543106158
664,,0.0,0.0,1.6036766895883452,1.6055917713642347,0.7809382995161563,1.7381705097248898,2.445874292436604,,,0.4629450596409901,inf,,,0.7710537090489376
665,,0.0,0.0,1.518745667955369,1.5001001465961827,0.6732136895425763,1.9678836069703125,2.3974948735042325,,,0.45235697871908603,inf,,,0.7602951688610612
666,,0.0,0.0,1.2841798022471735,1.254910990748396,0.885307818958043,1.9740167848560244,2.7290649699285594,,,0.43586655696697996,inf,,,0.6920050699838377
667,,0.0,0.0,1.6162685366189398,1.6117623301792363,0.8409921660525328,2.0175475735737916,1.7965315810883054,,,0.44144624493110796,inf,,,0.8522658080806276
668,,0.0,0.0,1.4073331991316114,1.401875661470559,0.4681658271460222,1.829384206255265,2.159221150466097,,,0.4302020962658841,inf,,,0.8819879841981965
669,,0.0,0.0,1.500901059165531,1.481082310866715,0.7256072004666008,1.9993244155285013,1.5631490637043164,,,0.47824363442641393,inf,,,0.8404026280942869
670,,0.0,0.0,1.258323525432883,1.2486609619685358,0.8136576571059145,1.4952818821369835,1.7031141775596126,,,0.45235697871908603,inf,,,0.774462061846028
671,,0.0,0.0,1.2851598662456425,1.2617239406952048,0.8579252346678352,1.7560329942668829,2.0951169986324345,,,0.4928685327679205,inf,,,0.7812983205712047
672,,0.0,0.0,1.4518897957306476,1.4212784377841405,0.7825862083797063,1.62154155855904,1.8410117032667983,,,0.43586655696697996,inf,,,0.8244933105784072
673,,0.0,0.0,1.4783019862563913,1.4797993651833132,0.7787259728860663,1.1701072672042432,1.5515047260533164,,,0.468121228110369,inf,,,0.7359393638319734
674,,0.0,0.0,1.4492145490139505,1.45837423042794,0.7469751247475996,1.2338452033269376,1.541488088356177,,,0.4576907132971797,inf,,,0.7753284511437316
675,,0.0,0.0,1.1520963389662076,1.148669262922514,0.7904750276504499,1.6240723490081042,1.7403455561335615,,,0.4880666971167561,inf,,,0.8308792582665993
