,temp+bvp_XAp0,temp+bvp_XAp1,temp+bvp_XAp2,temp+bvp_XCond1,temp+bvp_XCond2,temp+bvp_XDist,temp+bvp_XFuzz1,temp+bvp_XFuzz2,temp+bvp_XK2_1,temp+bvp_XK2_2,temp+bvp_XPermEn,temp+bvp_XSamp0,temp+bvp_XSamp1,temp+bvp_XSamp2,temp+bvp_XSpec
1302,,0.0,0.0,0.4670477656374638,0.377255771305936,0.45129084464253977,0.27715405618213645,0.22280651775075838,,,0.6425374456860184,inf,,,0.9391686798167266
1303,,0.0,0.0,0.2444568125457458,0.19246466942273632,0.17521262371113408,0.1157082793023957,0.097254799461751,,,0.6309483474627791,inf,,,0.9599334908076205
1304,,0.0,0.0,1.5031440391629398,1.4867102505841463,0.8628331110658677,0.06431103417878943,0.12470306043620315,,,0.62595550513784,inf,,,0.7812719338440003
1305,,0.0,0.0,1.4679313233071694,1.4652162220429101,0.9035805645165373,0.06594937123897832,0.1298987370972408,,,0.6403206450210053,inf,,,0.8086398938522851
1306,,0.0,0.0,1.0827377120156996,1.0387907089443902,0.7969323282518224,0.06363028801648335,0.10799955502620937,,,0.6468212168108125,inf,,,0.7698033740929152
1307,,0.0,0.0,1.581457640396027,1.570641014324843,0.9454792060869239,0.056286753401806264,0.11184766657309031,,,0.5978297680564633,inf,,,0.7638643618269461
1308,,0.0,0.0,0.38417692051028157,0.2773721361318461,0.56402363282959,0.18612634965938138,0.2005921238601107,,,0.62595550513784,inf,,,0.917219132445918
1309,,0.0,0.0,0.8576293901687081,0.8304902437280397,0.6024094459343734,0.6410629949083602,0.6469164202717171,,,0.6180765742263259,inf,,,0.9182929690448273
1310,,0.0,0.0,1.5115157413135882,1.4169523646990496,0.909788785431916,0.3450313819993358,0.4635343768247685,,,0.585052858160615,inf,,,0.8003166849891258
1311,,0.0,0.0,0.14257358439717902,0.0666954828507156,0.6184212508703755,0.2306046642551805,0.33614549478282263,,,0.5677978065141052,inf,,,0.8677402697587591
1312,,0.0,0.0,0.6874878760658852,0.6761330030641082,0.5845358153929416,0.1887693712158741,0.29583660156308345,,,0.6153451465759925,inf,,,0.8512766650591377
1313,,0.0,0.0,0.2127778966817606,0.17008701304645515,0.22762301901748364,0.1728809658486129,0.18907576199268933,,,0.6447042257417027,inf,,,0.9564245271537708
1314,,0.0,0.0,0.7134681610367744,0.6977580855894906,0.6748261737023592,0.6133932481361039,0.6510543424107857,,,0.6068309995095971,inf,,,0.942516178707283
1315,,0.0,0.0,0.9956349950729652,0.9544531479556347,0.7073396847940447,0.9551098362965769,1.0314271055674062,,,0.6038851895711802,inf,,,0.9265165114960096
1316,,0.0,0.0,1.1242248450867922,1.0927464634305084,0.7931221764622032,1.516992839917637,1.4671766421634826,,,0.6357360191111145,inf,,,0.8313782979555181
1317,,0.0,0.0,1.0398395140927408,1.0246997387056693,0.7930952962984698,1.1815312994726686,1.0431394219008587,,,0.62595550513784,inf,,,0.8216419282372954
1318,,0.0,0.0,0.55903233055972,0.502809080453516,0.45760568508654675,0.5953848133519998,0.581948641294419,,,0.6357360191111145,inf,,,0.8980732907527561
1319,,0.0,0.0,1.0256911366715384,1.0058790818459011,0.6797459290949144,1.0094358310316047,0.9905136846242646,,,0.6468212168108125,inf,,,0.8998552288677854
1320,,0.0,0.0,0.8095445726771618,0.7988301528649815,0.6407785187387166,1.382096606907242,1.1038237487464957,,,0.6333676938231112,inf,,,0.945959391064355
1321,,0.0,0.0,1.262119697134642,1.207196931392457,0.8578391223620301,1.5998191553545318,1.4078581441404792,,,0.62595550513784,inf,,,0.9380825991750511
1322,,0.0,0.0,1.1400761258723264,1.124845899665922,0.7652886967073208,1.781339682639809,1.4850596849690647,,,0.648888643467878,inf,,,0.9504129259637097
1323,,0.0,0.0,1.4351091715486863,1.3998218275836252,0.857181207649211,1.7867368283622802,1.7236114473948767,,,0.6602640781246099,inf,,,0.924455490710285
1324,,0.0,0.0,1.2333932214282917,1.2054533899836162,0.7964805492740709,1.4160937236897315,0.9970471235736824,,,0.6357360191111145,inf,,,0.9241514579297033
1325,,0.0,0.0,0.23483408813450724,0.1922110421075703,0.45717695325286595,1.6086483008749566,1.024656258040467,,,0.6528756675646988,inf,,,0.9518728875968734
1326,0.0,0.0,0.0,0.5920122451935727,0.5842076494055286,0.5737189443109143,2.3922197468175797,1.7985159240562134,,,0.6547956803312163,5.703782474656201,inf,,0.7842147944297301
1327,,0.0,0.0,1.2757072457002723,1.2519122411867025,0.733031730480523,2.3045281544109146,1.9338419265478746,,,0.6566669596287297,inf,,,0.9338576516588775
1328,,0.0,0.0,1.16256790560467,1.0401417150644168,0.7799069430554003,1.936030959112378,1.9081648364606185,,,0.6509067234006624,inf,,,0.9283933135798539
1329,,0.0,0.0,1.4311374439527653,1.4054141437240868,0.8713141764449042,2.294962555479586,1.5250073108263567,,,0.62595550513784,inf,,,0.9040393541431173
1330,,0.0,0.0,0.7307812130290143,0.6770893018905624,0.5604708498272813,1.885166774657655,1.6560857983048725,,,0.6447042257417027,inf,,,0.946583170084321
1331,,0.0,0.0,1.1209312363701576,1.1059789181007422,0.7959654707982753,1.8553161666992786,1.2951592849580353,,,0.6403206450210053,inf,,,0.91242587975353
1332,,0.0,0.0,1.4339862502001324,1.3957102738935039,0.8553372989521286,2.05408473806452,1.8116012342889012,,,0.6528756675646988,inf,,,0.9241773751488206
1333,,0.0,0.0,1.02175133357063,0.9379829716898934,0.6680488055464467,1.1736473822472138,0.9002154944640623,,,0.6528756675646988,inf,,,0.9036659534395758
1334,,0.0,0.0,0.8676739503510906,0.8480395763066946,0.7598834692401217,0.898763340064997,0.8176039480823202,,,0.6403206450210053,inf,,,0.9228023571437901
1335,,0.0,0.0,0.9361466822439559,0.9001608556220053,0.6731563772967467,0.8427330540293807,0.7707109895507364,,,0.6380535849069913,inf,,,0.9453286629836037
1336,,0.0,0.0,0.10696905971831198,0.06603580896628893,0.32566188305982474,1.494227849332927,1.2484220485700261,,,0.6380535849069913,inf,,,0.5603300683634596
1337,,0.0,0.0,1.1049422670292852,1.0341051807706003,0.7029632275370997,1.5784749190168972,1.1409268786745697,,,0.6684167106117298,inf,,,0.9391645233890618
1338,,0.0,0.0,0.4653791858875191,0.43292903773254987,0.4391596852488771,1.778158368842822,1.457443075860699,,,0.6528756675646988,inf,,,0.9545994253809165
