,bvp+eda_XAp0,bvp+eda_XAp1,bvp+eda_XAp2,bvp+eda_XCond1,bvp+eda_XCond2,bvp+eda_XDist,bvp+eda_XFuzz1,bvp+eda_XFuzz2,bvp+eda_XK2_1,bvp+eda_XK2_2,bvp+eda_XPermEn,bvp+eda_XSamp0,bvp+eda_XSamp1,bvp+eda_XSamp2,bvp+eda_XSpec
683,2.201602850191281,2.1028444685441148,-4.304447318735396,1.687421195503342,1.6700721157472656,0.9207321649912199,0.37514801939813014,0.5636363428111095,2.789178415890888,,0.648888643467878,2.201533848924318,2.108482249773292,inf,0.8434227525423633
684,1.9193681121794195,1.8333789390104753,1.9443464353155098,1.478792793606453,1.4567107460237905,0.8649728808373074,0.449090012463364,0.6933570632802462,1.9893185103294304,,0.6447042257417027,1.919365593833201,1.839936324577281,1.9511695443965156,0.8745202222135299
685,2.120263536200092,2.8870328566306496,-5.0072963928307415,1.4815961540961045,1.4885832743802612,0.9162555335470884,0.3730289633679369,0.5520258675583352,2.88703285663065,,0.6403206450210053,2.120263536200091,2.8937106591616795,inf,0.8418510421586014
686,1.0066908821356773,0.6719685294821818,-0.4308107738260172,1.7041226853259683,1.6999885310895002,0.20527817959680783,0.7761034472546822,0.8649247474518102,0.5449205542460066,0.5112814745137617,0.5947193981915972,0.7289355686637015,0.32763946421335066,0.279871522515271,0.8723297821965869
687,2.4320551931607604,-0.12929476831057318,-0.16648782114118976,1.523332275994385,1.514160584912942,0.8753391765517752,0.3093343811907715,0.45689547241404277,1.6453435222300319,1.4012452616192714,0.6125606311107803,2.10537492370634,1.3930678423946503,1.094579285951453,0.9489582086216585
688,1.9719784701829888,1.7487168942345475,-2.8030427222958605,1.572740720376906,1.538895357025685,0.8894674628841382,0.4058794643907613,0.6790701049347132,1.932398787949368,7.491061526852005,0.6153451465759925,1.9707266582094358,1.7360904965911677,3.8295467836039077,0.9022705578137954
689,2.2705584358771818,3.0751977842503893,-5.345756220127571,1.7797098357201464,1.749856616070552,0.9538857343588105,0.5226583765604409,0.8080060578382671,3.0256532746989095,,0.6233814453054027,2.2704406396674783,3.0234421298126923,inf,0.9195883074042709
690,0.1903537284912189,0.01702840155891905,0.004914422964611476,0.7052466796545568,0.652888947768763,0.2413276949265156,0.7370746449442912,0.8918859903437416,0.017028401558919094,0.005499405640736057,0.6403206450210053,0.1903537284912189,0.02370620408994836,0.011614596735175427,0.7025072434190149
691,1.8971199848858813,1.50073849551076,2.299235006108763,0.7407549174071958,0.6956555143904346,0.6063766241703749,3.5587344433638326,5.734774176317391,1.7238820468249691,2.076091454794554,0.6566669596287297,1.8971199848858813,1.5074162980417887,2.3059351798793277,0.7177402766835861
692,2.269795270171055,2.044353942099741,-4.314149212270796,1.4699858040947058,1.4027110787936055,0.9703224204794887,5.192840570364352,4.2630938423306795,2.3320360145515218,,0.688071247053758,2.2697952701710546,2.0510317446307704,inf,0.9317788902787726
