,acc+hr_XAp0,acc+hr_XAp1,acc+hr_XAp2,acc+hr_XCond1,acc+hr_XCond2,acc+hr_XDist,acc+hr_XFuzz1,acc+hr_XFuzz2,acc+hr_XK2_1,acc+hr_XK2_2,acc+hr_XPermEn,acc+hr_XSamp0,acc+hr_XSamp1,acc+hr_XSamp2,acc+hr_XSpec
503,,0.0,0.0,1.5807363013718119,1.4814013002639568,0.8330619067401176,0.45234100965765317,0.4559304443150539,,,0.5883313578629602,inf,,,0.24126853436898324
504,,0.0,0.0,1.6325182685179305,1.6185658110964067,0.8802941249307827,0.4203877443713015,0.4302793178308048,,,0.6068309995095971,inf,,,0.2327396505588315
505,,0.0,0.0,1.6916004126656508,1.6755582572268464,0.8702941486041915,0.45965673246507405,0.4643671115772886,,,0.5748741956352443,inf,,,0.25640261431528066
506,,0.0,0.0,1.6474787987749597,1.6048278540043097,0.8983021762972383,0.47897855272699624,0.5520001930273369,,,0.6097226960127671,inf,,,0.2647434212605658
507,,0.0,0.0,1.7079400043500574,1.6915436394609915,0.8949413301223955,0.6929338452396502,0.8442375687831097,,,0.5947193981915972,inf,,,0.26157748762966804
508,,0.0,0.0,1.4770157593887416,1.4550798996195937,0.836462884419773,0.712744596763873,0.7675691166709124,,,0.6038851895711802,inf,,,0.2520474759796512
509,,0.0,0.0,1.721429154603503,1.7427615479284162,0.920234125582231,0.706562562067043,0.7018790623831582,,,0.581717464821069,inf,,,0.24147087684647045
510,,0.0,0.0,1.408832586251147,1.3609663902016917,0.7992715141508361,0.6559110437392671,0.645523255048654,,,0.585052858160615,inf,,,0.25108506801121777
511,,0.0,0.0,1.7697387888664078,1.7553894109283446,0.9259264475645664,0.5311736018230272,0.6044228673638353,,,0.5748741956352443,inf,,,0.23132534955131245
512,,0.0,0.0,1.6771086250020657,1.6510230821292347,0.8887125336433512,0.5248520035212925,0.5743476040426739,,,0.5915533975974677,inf,,,0.24720706067775655
513,,0.0,0.0,1.6437178601147417,1.5763321786890925,0.8932734548732267,0.48475066534560457,0.5196978649129698,,,0.5947193981915972,inf,,,0.2783052768975451
514,,0.0,0.0,1.1457280115335113,1.11107172748025,0.7448216731207291,0.5736046015775269,0.5525526019164635,,,0.5677978065141052,inf,,,0.3115756820408323
515,,0.0,0.0,1.4445678128337696,1.4036942208279135,0.8198278776761294,0.637940473080751,0.6086930077002816,,,0.5883313578629602,inf,,,0.26680039293609165
516,,0.0,0.0,1.6211997808796084,1.5515994919444958,0.8592295403152004,0.6353604523307402,0.6531609503180883,,,0.5915533975974677,inf,,,0.27683279277957035
517,,0.0,0.0,1.6598049254427936,1.6328404912684884,0.9033226935617285,0.54004852560849,0.6086725573718728,,,0.585052858160615,inf,,,0.2535398183914882
518,,0.0,0.0,1.74412161882919,1.6278574760669442,0.8391796950023438,0.4593155498961753,0.28578215013742864,,,0.585052858160615,inf,,,0.2775299977641727
519,,0.0,0.0,1.776614124109685,1.633464424487984,0.68529837820969,0.227801629784954,0.10278586209107565,,,0.5604843169999094,inf,,,0.28793732041303066
520,,0.0,0.0,1.6610782601115004,1.6272886186715718,0.8642912200814669,0.06154073072221191,0.08602904008176182,,,0.5883313578629602,inf,,,0.3141901740013794
521,,0.0,0.0,1.6596073432172536,1.6095032099174014,0.8631498627227207,0.03245506707819557,0.052360224556017,,,0.5978297680564633,inf,,,0.42577728230354467
522,,0.0,0.0,1.589681896393456,1.3407051055272545,0.8693996912978422,0.527686839851242,0.345383605140695,,,0.6068309995095971,inf,,,0.2563402260211595
523,,0.0,0.0,1.710025014656035,1.5754406552182023,0.8695225910635695,1.0523222134042935,0.5188778203398623,,,0.5641709578113449,inf,,,0.2216999774716888
524,,0.0,0.0,1.658040482140553,1.5828222772123959,0.922882392560443,1.4506577025326293,1.3013308602109885,,,0.585052858160615,inf,,,0.22219997448241854
525,,0.0,0.0,1.5144905948750815,1.468355521446362,0.797799284131578,1.7481098433734699,1.9090910786442505,,,0.6068309995095971,inf,,,0.21760926139018388
526,,0.0,0.0,1.4321423374886397,1.4040509413671745,0.9020857335443017,1.4149108248213482,1.1512271388022532,,,0.5713653840954815,inf,,,0.2277526556868596
527,,0.0,0.0,1.6165091796475037,1.538917858800968,0.8549669945079793,0.8391998865975603,0.6905923417473508,,,0.5677978065141052,inf,,,0.2676088099159213
528,,0.0,0.0,1.7166848314730838,1.6457240856660447,0.8449119612366001,0.46668191709154155,0.4319147963020154,,,0.6180765742263259,inf,,,0.2850708888953282
529,,0.0,0.0,1.6265154630830776,1.5792274865891633,0.8001745962039113,0.23612718714308464,0.2705444286776945,,,0.5883313578629602,inf,,,0.3552701527959059
530,,0.0,0.0,1.2686993069199783,1.270858549717289,0.762779963460606,0.04905298098636436,0.1113529311241136,,,0.585052858160615,inf,,,0.22320935953813437
531,,0.0,0.0,1.7057728055320385,1.664538688145959,0.9116810500210849,0.24542956506742677,0.2831836865242876,,,0.5978297680564633,inf,,,0.29394898949571957
532,,0.0,0.0,1.6545462026536344,1.6357957969441792,0.746896919500844,0.4396166458088323,0.38863491023038976,,,0.5677978065141052,inf,,,0.30695688890274914
533,,0.0,0.0,1.576079632935647,1.4378434851193753,0.8695630632401423,0.7997885369580432,0.6752750305157098,,,0.6008849035917525,inf,,,0.2845360117706817
534,,0.0,0.0,1.3498981512312023,1.245926671007332,0.8119031886959605,0.7237979732093636,0.5970505375975123,,,0.5915533975974677,inf,,,0.2800947456532433
535,,0.0,0.0,1.6735164636061417,1.6589598812562927,0.8760791067990903,0.4599379209103502,0.458117501831622,,,0.5641709578113449,inf,,,0.2758159127035993
536,,0.0,0.0,1.5932894687468542,1.5392320730330793,0.8706157014312488,0.43290997573594514,0.535115578271403,,,0.5915533975974677,inf,,,0.2895595177344377
537,,0.0,0.0,1.5775253111100487,1.5847562568753482,0.8071406975061237,0.27719127242395286,0.2929132488221714,,,0.5915533975974677,inf,,,0.30444550477342674
538,,0.0,0.0,1.6851503869594198,1.615835038091683,0.899135336995212,0.47900855011593685,0.5794049938471422,,,0.5947193981915972,inf,,,0.2578068545479029
539,,0.0,0.0,1.4797978084128935,1.4873850734257086,0.8669067840762508,0.46166247503451874,0.5144572236853049,,,0.6008849035917525,inf,,,0.26348686480478606
