,bvp+hr_XAp0,bvp+hr_XAp1,bvp+hr_XAp2,bvp+hr_XCond1,bvp+hr_XCond2,bvp+hr_XDist,bvp+hr_XFuzz1,bvp+hr_XFuzz2,bvp+hr_XK2_1,bvp+hr_XK2_2,bvp+hr_XPermEn,bvp+hr_XSamp0,bvp+hr_XSamp1,bvp+hr_XSamp2,bvp+hr_XSpec
414,5.7037824746562,-2.832878629079246,0.0,1.4518393227830138,1.4495708081778198,0.4806989718362658,2.8328997575434203,4.567466276125126,,,0.43586655696697996,6.403618643366943,inf,,0.7062673572111803
415,5.703782474656203,-0.28518912373281013,0.0,1.092242270798045,0.9614894135699191,0.607002017472968,3.1375621143193015,5.0442507131979895,,,0.43586655696697996,8.699514748210191,inf,,0.8554257311747574
416,,0.0,0.0,0.7724727703961152,0.7280221660232548,0.8829072570952317,3.3022634820473407,4.56458085692823,,,0.36181263880445963,inf,,,0.8828655286811846
417,,0.0,0.0,1.6131611039298295,1.6166532069109942,0.9555094868120558,3.5351665560334014,9.176876991882578,,,0.288175044534938,inf,,,0.8058736064448707
418,,0.0,0.0,1.540358430324918,1.5252092742716965,0.9695129476093324,3.3530934597841875,25.884639070192303,,,0.34100769111774265,inf,,,0.7635834350130766
419,,0.0,0.0,1.6752601234930777,1.660233860915471,0.9267608283923076,3.0585288901371417,17.85849502072907,,,0.28007874463063287,inf,,,0.7719123018429963
420,,0.0,0.0,1.6771169424914392,1.6530914553457277,0.9490372403399917,3.6414555523025482,21.799020201968332,,,0.3116047106179316,inf,,,0.7972035377065908
421,,0.0,0.0,1.7071645917748093,1.695266830641128,0.959753875165398,3.6498684208483914,20.099492985510928,,,0.30393309777884125,inf,,,0.8190102919701495
422,,0.0,0.0,1.639890637191731,1.626978292057081,0.9641495039713132,3.667371140615075,17.633549135817354,,,0.2961247884481232,inf,,,0.7720821805761356
423,5.703782474656202,-0.49432781447020413,0.0,0.6580561567500586,0.5690916148136647,0.7011606454960936,3.166119534784338,38.07428643787793,,,0.468121228110369,8.14946841129092,inf,,0.660293496187283
424,,0.0,0.0,1.0066178204561425,0.9748111648147225,0.9231644385360342,3.491183073639846,4.145333240378296,,,0.48319206230712763,inf,,,0.8761958910895864
425,,0.0,0.0,1.6438874857904713,1.573126653966532,0.9561299086623443,3.7608612816651275,3.740072438652906,,,0.468121228110369,inf,,,0.8504960693715242
426,,0.0,0.0,1.659319255362921,1.6443319031984582,0.9344622483281534,3.77532507304695,4.171075905495191,,,0.43586655696697996,inf,,,0.8564745351922798
427,,0.0,0.0,1.5498946175496606,1.5113662098630418,0.9490959543824425,3.616464542591229,31.99740436927894,,,0.4302020962658841,inf,,,0.8773928360418997
428,,0.0,0.0,1.6874333974149092,1.6693919090849347,0.961571937084491,3.6083622403770406,6.612140964359575,,,0.43586655696697996,inf,,,0.8486666884926721
429,,0.0,0.0,1.7221997427619504,1.70067261095916,0.9595565189896696,4.4540527631432,22.39453527076774,,,0.45235697871908603,inf,,,0.8494638389406638
430,5.703782474656204,-2.2625003816136275,0.0,1.4668192810070275,1.4370819782976756,0.678528697671229,2.994669141460023,3.163151602945804,,,0.45235697871908603,6.628441456200873,inf,,0.7009922034946356
431,,0.0,0.0,1.5226972399227756,1.512913775357123,0.9503870146714102,2.185172860917412,3.7754329757330933,,,0.23718601089358102,inf,,,0.7217032345825414
432,,0.0,0.0,1.7546786993577366,1.7133142563170665,0.9783451827545485,1.92004122981057,2.551764244841636,,,0.18952474069199465,inf,,,0.7253994528102977
433,,0.0,0.0,1.6332662275389356,1.618098305382007,0.9708180179790667,2.09707307564415,3.6458517550470413,,,0.20924377657122822,inf,,,0.7903757242996714
434,,0.0,0.0,1.7482664844667108,1.724133907657469,0.9737389600359303,1.9854721664224144,3.062398324394343,,,0.1995021272786615,inf,,,0.7572489048030322
435,,0.0,0.0,1.61860751988965,1.487851443531779,0.7570794029395331,2.964155927486223,2.9278792662740765,,,0.5113665138247345,inf,,,0.8418860315962174
