,tempeda_correlation
0,-0.8517202819674351
1,-0.8869078486240517
2,-0.7952693870269798
3,-0.7646250134731819
4,0.4627996085206323
5,0.8904157740042286
6,-0.14507788858008502
7,-0.056918903100949485
8,-0.6791320919367981
9,-0.3505801526000011
10,-0.7854460219643448
11,0.9218619059561245
12,-0.3982831669145549
13,-0.896452706801188
14,-0.5757680800706125
15,0.5356841466325399
16,0.8656987935334886
17,-0.6654945961230524
18,0.9390463593118136
19,0.9722179267543913
20,0.9906475699785723
21,0.9438595447276363
22,-0.3323536135676308
23,-0.9360063151003646
24,-0.977814395300546
25,0.005313790638311868
26,0.8761386791128443
27,0.7230096776310292
28,0.7245587093883495
29,0.3175527472936084
30,0.6552808732302983
31,0.4796522576570881
32,0.5704438321302163
33,0.1803868796847465
34,-0.8573276870317189
35,-0.3005656249142549
36,0.6263809060820518
37,0.19889940319412233
38,-0.5413858177627737
39,-0.41011004379956273
40,-0.037709082421613756
41,-0.49850386228249804
42,-0.15347323031957838
43,-0.8036631261768238
44,0.6475407634101256
45,-0.5830814128945112
46,0.12896072789568763
47,-0.27560831128164304
48,0.5702521319620121
49,-0.8735853581891654
50,0.7227297285600289
51,0.9119464000131913
52,0.04175264057819557
53,-0.6527623790482383
54,0.6557234939823411
55,0.90365715784014
56,-0.07531446021422666
57,0.7368935146287667
58,0.45367798673172705
59,-0.31282104686459083
60,-0.6181417343077101
61,0.8745949111181424
62,0.6025574139813612
63,-0.4408587491931153
64,0.9252431852562681
65,0.9286784033287037
66,-0.3558866580113463
67,0.06253992754300494
68,0.03570335584320987
69,0.04034327433903033
70,0.050493050465347945
71,-0.16812595926589868
72,-0.12430987724001437
73,-0.5892524686727093
74,-0.0982929887378146
75,0.03502474533486568
76,0.5978501012815173
77,0.8969545033492626
78,0.8931937143618595
79,0.6981003901192979
80,-0.4264742455374163
81,0.25077943715036344
82,-0.09887022449755387
83,-0.8668153449558765
84,-0.829888911734932
85,-0.4983094987249992
86,-0.6159505754582114
87,-0.8251585493811633
88,-0.7287213832399181
89,0.5398143017807824
90,-0.006590869684978937
91,-0.5650045005944634
92,0.09010834876333142
93,-0.20023195875207775
94,0.1830947553460807
95,0.1706477050988763
96,0.3776912093267102
97,-0.5147710360876848
98,-0.528001032720219
99,0.8759862983497729
100,0.002800659974462127
101,0.41373858019887927
102,-0.9750334021260276
103,-0.9702916763279215
104,-0.7766948483798872
105,-0.5617913896521785
106,-0.5941996718670799
107,-0.2610528825691035
108,0.7305757138252083
109,0.24443792399815134
110,-0.5673210820495131
111,0.8650826501365771
112,-0.43208570575427624
113,-0.6876854728450895
114,-0.8897774821694806
115,0.4015833294176146
116,-0.9707533576924536
117,-0.9845194979992014
118,-0.3083321662733938
119,0.659646378377023
120,-0.7216860300418599
121,0.3135278515011963
122,-0.0722510384776229
123,0.4887384239197588
124,0.5969736822373835
125,0.24683979646467522
126,0.011697570401526842
127,-0.07330342389987853
128,-0.09905845146117828
129,0.8670067349772225
130,-0.24507088592236345
131,-0.9181478516507032
132,-0.953831344531132
133,-0.6584214987516367
134,-0.6555841380092358
135,-0.4598073456724673
136,0.10598406569836408
137,0.2340180296227135
138,-0.11342921380854566
139,0.28450797091275
140,-0.7109623409679723
141,-0.8145042683346486
142,-0.3878095503272037
143,0.13609960750658706
144,0.36492482503436535
145,-0.9828451874318007
146,-0.6887599986602817
147,-0.9025422489094509
148,-0.5203018675360462
149,0.02325947137648421
150,-0.3241334225998068
151,0.08464588232099525
152,0.822947134244944
153,0.06757900564499818
154,0.6144015102716105
155,-0.20753365312320504
156,0.2132172858423285
157,0.9502399449447934
158,0.5376470720188097
159,0.9456958344763161
160,-0.7354849014530406
161,-0.6754129892189891
162,0.49636711751516
163,-0.3828747894139464
164,0.3674219481551807
165,-0.07466101399139156
