,hr+eda_XAp0,hr+eda_XAp1,hr+eda_XAp2,hr+eda_XCond1,hr+eda_XCond2,hr+eda_XDist,hr+eda_XFuzz1,hr+eda_XFuzz2,hr+eda_XK2_1,hr+eda_XK2_2,hr+eda_XPermEn,hr+eda_XSamp0,hr+eda_XSamp1,hr+eda_XSamp2,hr+eda_XSpec
722,,0.0,0.0,1.5944109972045237,1.4229195650952233,0.9273171137528812,0.7842883012025671,0.7078719224625577,,,0.585052858160615,inf,,,0.2253539636008554
723,,0.0,0.0,1.6974564581613982,1.606245088701767,0.826996366012087,0.5668402129873191,0.5338098529199589,,,0.6380535849069913,inf,,,0.21227439137449658
724,,0.0,0.0,1.7318524186931397,1.5052193830119547,0.909271342714783,0.3731243169626383,0.32756963778011006,,,0.585052858160615,inf,,,0.1808760052374019
725,,0.0,0.0,1.6138129691377283,1.471291163870934,0.9340954927993694,0.4556173881955818,0.4596379243663084,,,0.62595550513784,inf,,,0.18580746479541438
726,,0.0,0.0,1.4074457464731358,1.3040108550209613,0.8416991700391707,0.31139717486595136,0.2944276953511983,,,0.6068309995095971,inf,,,0.18777270079923666
727,,0.0,0.0,0.8259030186159769,0.681023746681297,0.8547411151624321,0.37936728205041254,0.39439507801155504,,,0.6125606311107803,inf,,,0.2579665476476922
728,,0.0,0.0,1.0543642515187102,0.9190345928141171,0.8975832071371987,0.45217413267646595,0.4796192597117571,,,0.5783247308855777,inf,,,0.23844767413297582
729,,0.0,0.0,1.2660845918326127,1.2170725683962493,0.9639376823668151,0.31782540200569653,0.3075524591268697,,,0.6447042257417027,inf,,,0.19568365446850733
730,,0.0,0.0,1.534501553615402,1.267440099890415,0.8476412921378784,0.41040140848812473,0.44119737522829394,,,0.585052858160615,inf,,,0.19354918576587984
731,,0.0,0.0,1.3709212796618693,1.1555669513639244,0.9494791774526974,0.42020579924801893,0.3928470393314135,,,0.6125606311107803,inf,,,0.2130351272855381
732,,0.0,0.0,1.4260641142721453,1.2859410818707728,0.909178090456248,0.4549836217161728,0.46919069946213565,,,0.6403206450210053,inf,,,0.19740762571132972
733,,0.0,0.0,1.3501441645042869,1.3201243041717392,0.9290257644850483,0.36912479948087457,0.36571235070441227,,,0.581717464821069,inf,,,0.20751446957679187
734,,0.0,0.0,1.1878673367353756,1.1361292923454702,0.9126021292666319,0.3610740110336218,0.34914820734683283,,,0.6333676938231112,inf,,,0.2022489627340772
735,,0.0,0.0,0.8066857014214375,0.7207180420860562,0.9187045448610612,0.2738129296858684,0.26235766877864114,,,0.6207552362147116,inf,,,0.21929142432907064
736,,0.0,0.0,0.6399720992397946,0.5817611765877516,0.9328588309148065,0.2805563192688301,0.26294529193662536,,,0.6207552362147116,inf,,,0.21779043246245355
737,,0.0,0.0,0.597209149337318,0.450727533418944,0.9407765104745289,0.4809136747599202,0.5203207206241955,,,0.6309483474627791,inf,,,0.24605362578264486
