,hr+acc_XAp0,hr+acc_XAp1,hr+acc_XAp2,hr+acc_XCond1,hr+acc_XCond2,hr+acc_XDist,hr+acc_XFuzz1,hr+acc_XFuzz2,hr+acc_XK2_1,hr+acc_XK2_2,hr+acc_XPermEn,hr+acc_XSamp0,hr+acc_XSamp1,hr+acc_XSamp2,hr+acc_XSpec
1001,,0.0,0.0,0.8990944199814743,0.8552725054415322,0.9409077764850678,1.0224277749250286,0.8820546024589786,,,0.5947193981915972,inf,,,0.21057610365610205
1002,,0.0,0.0,1.005656849277425,0.9764756437103734,0.9143959308002035,1.1743371612762739,1.053325887377989,,,0.5883313578629602,inf,,,0.21117315513514598
1003,,0.0,0.0,1.0320114072314412,0.9363924529182018,0.9262882533984567,0.4873381615934126,0.5298512821719545,,,0.5947193981915972,inf,,,0.21101470302767514
1004,,0.0,0.0,0.8003910411627145,0.78222604576275,0.9196375251568696,0.38176242245765224,0.5005616434505249,,,0.6008849035917525,inf,,,0.21087117989688028
1005,,0.0,0.0,0.6454350433877813,0.5444830866815038,0.9176147271155483,0.2591628731847967,0.3715047536495715,,,0.4928685327679205,inf,,,0.26966977265883696
1006,,0.0,0.0,0.27497765799775714,0.2277731849299829,0.8726175892677692,0.2431745419944943,0.3544738485401515,,,0.6153451465759925,inf,,,0.32920984548828186
1007,,0.0,0.0,1.3775376003589688,1.2247935450103595,0.821000785325329,1.202446287946894,0.8506497024944837,,,0.5713653840954815,inf,,,0.241080492738185
1008,,0.0,0.0,1.3587620581909547,1.2724813898312892,0.842174335630486,1.0306578966297957,0.8369518428956118,,,0.5947193981915972,inf,,,0.22334935242126816
1009,,0.0,0.0,0.8867515266992269,0.7992252615003281,0.8567931146821796,0.9509019332447385,0.8374367226645751,,,0.62595550513784,inf,,,0.21153251149879948
1010,,0.0,0.0,0.540299541137041,0.4474722463754307,0.8926839267962668,0.7628872326052389,0.8394219211332843,,,0.6180765742263259,inf,,,0.23578090454166437
1011,,0.0,0.0,1.1725136149988926,1.1157241009077257,0.8857278884130371,0.7219163407128651,0.7917531292364284,,,0.6207552362147116,inf,,,0.19373940889433872
1012,,0.0,0.0,1.1617543242547472,1.0997677491170679,0.8726061905495656,0.8046511870759456,0.9021062170592723,,,0.6097226960127671,inf,,,0.1841448642813791
1013,,0.0,0.0,1.3514421648839046,1.329089204525032,0.8818624312260746,0.7370957382007577,0.8591655181545944,,,0.6509067234006624,inf,,,0.17214132686756986
1014,,0.0,0.0,0.40831514728970875,0.39370880678181314,0.7676427116884904,0.5485024855285321,0.41991284158350606,,,0.6357360191111145,inf,,,0.22406569586113828
1015,,0.0,0.0,0.23483408813450724,0.17537648966716998,0.7368509270350073,0.2121169246262778,0.22365093349807114,,,0.6125606311107803,inf,,,0.3569919566944897
1016,,0.0,0.0,0.742106387324427,0.6470525796676005,0.675652193924064,0.2828227250250876,0.19075977370553798,,,0.6097226960127671,inf,,,0.26997042042343
1017,,0.0,0.0,0.8585429387207986,0.6839349751421896,0.8548899329368385,0.5457437540276326,0.34796328510065355,,,0.6309483474627791,inf,,,0.26209004412408754
1018,,0.0,0.0,0.6260512094275631,0.571257319867785,0.7164369912755831,0.4950826796560844,0.4282880017654013,,,0.5641709578113449,inf,,,0.29111928137343135
1019,,0.0,0.0,0.7755214567930218,0.7472306020594836,0.8451745798514985,0.5471199030483482,0.49309959612786425,,,0.581717464821069,inf,,,0.2500871114237681
1020,,0.0,0.0,0.7960175626819814,0.7378772523739981,0.8393790840112071,0.7360454725384518,0.5706939329670182,,,0.5370774965580548,inf,,,0.25175924154570695
1021,,0.0,0.0,1.1690890954007014,1.1289541311007933,0.8433508287286149,0.927032516831058,0.691235373275571,,,0.585052858160615,inf,,,0.22719387083407067
1022,,0.0,0.0,0.8936412093361047,0.8328466103467721,0.7785766932188259,0.7850717991062268,0.6370448498883637,,,0.6008849035917525,inf,,,0.24638938282063894
1023,,0.0,0.0,0.9245224210839201,0.8238606437551634,0.9096142025461258,0.8723193885944986,0.7845305050044808,,,0.6068309995095971,inf,,,0.2537727187109528
1024,,0.0,0.0,1.1426824148150354,1.0711406730136002,0.8532215100574408,0.7712541013975622,0.6637281917493195,,,0.585052858160615,inf,,,0.2280929462296791
1025,,0.0,0.0,0.7017035832411621,0.6746545706926014,0.7663292959439104,0.5942945651896354,0.5521847005102415,,,0.5915533975974677,inf,,,0.25913702153369517
1026,,0.0,0.0,0.5603064363446133,0.5172716272815492,0.7714150301433281,0.39618184557088537,0.3671893959877239,,,0.6068309995095971,inf,,,0.2580238353024625
1027,,0.0,0.0,0.6004680546828939,0.5424450102996816,0.8044801821375315,0.380677826179948,0.34558281471150293,,,0.5883313578629602,inf,,,0.2876063854458978
1028,,0.0,0.0,0.7167295669327338,0.6313043000782551,0.7816677387980602,0.5981681877287712,0.4646840949803116,,,0.541134803179459,inf,,,0.3037621890464502
1029,,0.0,0.0,0.8919422413238316,0.7662462341519903,0.8671326835694612,0.5614380750626509,0.4530383014373761,,,0.6097226960127671,inf,,,0.28160748646639683
1030,,0.0,0.0,0.7902705862241813,0.5206650300213416,0.7954283356809972,0.47603667061411964,0.36968075656914867,,,0.6207552362147116,inf,,,0.271577420526622
1031,,0.0,0.0,0.366423863031483,0.32606867221100244,0.8172826278949977,0.713347873595815,0.6953546253095403,,,0.6233814453054027,inf,,,0.24168614658331877
1032,,0.0,0.0,1.005495503641894,0.9733726818307099,0.8167312336405012,0.7480421846274465,0.7908965752763695,,,0.5915533975974677,inf,,,0.1841440374084659
1033,,0.0,0.0,0.9783533881873028,0.9542442577463653,0.7179850148557874,0.740162507137653,0.8357506989716302,,,0.5947193981915972,inf,,,0.19310152977540795
1034,,0.0,0.0,0.9082403631837853,0.8811718912367407,0.7680724284368123,0.8307785222650448,0.9524817608939277,,,0.6357360191111145,inf,,,0.21730621610546103
1035,,0.0,0.0,1.0239487456388103,0.9821256865251862,0.7380240598514349,0.8890035852949947,1.0595424357343846,,,0.5947193981915972,inf,,,0.2368343786952503
1036,,0.0,0.0,1.1014759809892694,1.0792570882919224,0.8995522421338926,0.8683134992331356,0.9897229767362108,,,0.6097226960127671,inf,,,0.19294447558195016
1037,,0.0,0.0,1.1908686857099224,1.1509224347660676,0.857960192773141,0.9203214519072062,0.9844765540669042,,,0.6425374456860184,inf,,,0.1910652788093615
