,eda+hr_XAp0,eda+hr_XAp1,eda+hr_XAp2,eda+hr_XCond1,eda+hr_XCond2,eda+hr_XDist,eda+hr_XFuzz1,eda+hr_XFuzz2,eda+hr_XK2_1,eda+hr_XK2_2,eda+hr_XPermEn,eda+hr_XSamp0,eda+hr_XSamp1,eda+hr_XSamp2,eda+hr_XSpec
41,,0.0,0.0,1.7052074058651308,1.548398656194074,0.9119962252688023,0.115957300603478,0.25061192033799307,,,0.5604843169999094,inf,,,0.17657459387963367
42,,0.0,0.0,1.6329577611325983,1.4822233146916104,0.890576076480286,0.130468883362269,0.27207574016843494,,,0.5329562494928909,inf,,,0.28432248591502596
43,,0.0,0.0,1.7642324624476917,1.2571191480118717,0.9808705468771309,0.1673921857126247,0.36943763643927363,,,0.5113665138247345,inf,,,0.23293415865256095
44,,0.0,0.0,0.9156326302503164,0.5457329451471968,0.6279572838360888,0.13601356537504453,0.1461564578363802,,,0.47824363442641393,inf,,,0.18624715521765742
45,,0.0,0.0,1.5942931145831185,1.3995528970749396,0.9077806943802768,0.22570757590466833,0.367701444621525,,,0.5022576003740722,inf,,,0.1910394732487285
46,,0.0,0.0,1.720599575323668,1.5610278064339935,0.9469458523244861,0.08123392416480202,0.21289919994597833,,,0.5202020156036558,inf,,,0.20487561693886908
47,,0.0,0.0,1.2355409138959774,0.8704987683277629,0.7199335195619456,0.16783907267569548,0.16966010397284445,,,0.5329562494928909,inf,,,0.20517502403527085
48,,0.0,0.0,1.564732415128766,0.9958519909303581,0.8584393857563966,0.030359350063366996,0.07551866945538696,,,0.4732203808476458,inf,,,0.16551870933656837
49,,0.0,0.0,1.6514279948865895,1.4624105633107767,0.894487695302588,0.10913430650575805,0.257740240028446,,,0.5158180382284114,inf,,,0.21357501087411004
50,,0.0,0.0,1.6533247161548772,1.5826511988207121,0.931204538990746,0.15609284663724682,0.3257388286390771,,,0.524519217297268,inf,,,0.19748463629906232
51,,0.0,0.0,1.6872602961847762,1.6335624773022839,0.930909242316186,0.18527347688720489,0.34875715476951996,,,0.5370774965580548,inf,,,0.1867766690850258
52,,0.0,0.0,1.4090370403374426,1.2283199950118813,0.8245008162342217,0.08464662956020007,0.1623708750851146,,,0.524519217297268,inf,,,0.17823969134244982
53,,0.0,0.0,1.4463903116966776,1.2953658381066504,0.8455710823129853,0.18815032673298923,0.3549432668537272,,,0.524519217297268,inf,,,0.2196120824379243
54,,0.0,0.0,1.533433279181013,1.390623779793325,0.8928680734420006,0.16334490616408995,0.3203376536458343,,,0.5287703885177266,inf,,,0.18865549930575945
55,,0.0,0.0,1.571112173796219,1.2102712621481488,0.8691854309511825,0.07810874362620633,0.2003946677869529,,,0.5287703885177266,inf,,,0.19965095236434552
56,,0.0,0.0,1.5613470384848278,1.0746492156384273,0.9013282493589851,0.10058290133054161,0.22020709784686446,,,0.524519217297268,inf,,,0.1753247064758582
57,,0.0,0.0,1.630218798731641,1.0281371054051078,0.9182574519682959,0.05636360416652587,0.14754452234555052,,,0.5329562494928909,inf,,,0.16759748800628965
58,,0.0,0.0,1.727749894611108,1.5707995750297252,0.9124381369388128,0.053221059769751514,0.14482814128951335,,,0.541134803179459,inf,,,0.1722391631104084
59,,0.0,0.0,1.5229973835610697,1.2151531862718365,0.8725289872489438,0.1300969405176169,0.2892987805106869,,,0.5287703885177266,inf,,,0.16938611941532536
60,,0.0,0.0,1.6169645131949335,1.067064878748418,0.8641806617461323,0.07661969871355842,0.18960563259503732,,,0.5370774965580548,inf,,,0.16828061475161699
61,,0.0,0.0,1.613544473112422,1.0776793202088355,0.9189841842385382,0.0801756912760441,0.20794251867767433,,,0.49759852643134905,inf,,,0.2322854856461617
62,,0.0,0.0,1.4592225929530198,1.01412895579592,0.8425035593294331,0.07630800981839357,0.18327645137982695,,,0.4302020962658841,inf,,,0.21631346534642523
