,bvp+acc_XAp0,bvp+acc_XAp1,bvp+acc_XAp2,bvp+acc_XCond1,bvp+acc_XCond2,bvp+acc_XDist,bvp+acc_XFuzz1,bvp+acc_XFuzz2,bvp+acc_XK2_1,bvp+acc_XK2_2,bvp+acc_XPermEn,bvp+acc_XSamp0,bvp+acc_XSamp1,bvp+acc_XSamp2,bvp+acc_XSpec
1031,1.5772327713744438,1.0913946059919475,-0.08885246575049255,0.7971946543618362,0.7714749506128886,0.7901553685612941,3.8413969092963574,3.6525479780452543,0.9922561866105575,0.7681796462538887,0.6566669596287297,1.498990357727717,0.8318799044784206,0.5283905006649744,0.9361992388633817
1032,1.8399968736399823,1.4100808554805067,0.6520676743578995,0.6566145879465196,0.6451289279102829,0.7400932911658483,4.261321280690337,5.336997440427917,1.6554282363096684,1.4481167288127141,0.6097226960127671,1.8323037245436364,1.3645931936057893,1.0336492652530767,0.9405517227642274
1033,1.8643913973871515,1.2000925549221195,0.7586634605258684,0.7780087267771716,0.7617173107097966,0.830100982350684,3.7488201234033864,3.7475809624660594,1.4191866527399433,0.8621772864914834,0.6284777104787076,1.8628974970613945,1.1980253620298091,0.7578122119133851,0.9318422966597134
1034,1.6339613422871737,1.1433967568125805,0.7730808488092586,0.6657587420765835,0.6401673458409982,0.8303179048484565,3.9752970065130095,3.3241907511244957,1.421877592987845,1.144677483803352,0.6207552362147116,1.630945325385262,1.1278719927706014,0.7385239240591944,0.9369611944782069
1035,1.815463390242193,1.8021683693836885,0.9633495039950581,0.806455058941838,0.791309187578734,0.829818573547244,4.385654539271459,3.6271426489615406,2.077887576148676,1.3061909644515073,0.6125606311107803,1.813664304616105,1.7941473264090497,1.0278177624476454,0.929930258632521
1036,1.7557401607346772,1.3295225036279883,0.7820423934698866,0.8275077150707901,0.8207963638543089,0.7860081904366598,4.346117706257858,4.520686646693369,1.4426871661335565,1.1717507617602527,0.6468212168108125,1.7488915690008793,1.301648941048107,0.8254720578561269,0.9349977022919708
1037,1.524936648712319,1.1229197553283627,0.7358754144859718,0.932379757731523,0.9110678399769455,0.7775805643648792,3.5646792828001725,4.403782115628724,1.339556468867368,1.448447695725468,0.6668815377411301,1.5194448739073958,1.0674206761901026,1.0445839221161615,0.8878762554286431
1038,1.7277343813354695,1.0101498482931308,0.8658750956370964,0.9316349588904611,0.9196402344582237,0.7589009630001596,3.7977039367448904,3.747765885053884,1.1167969479905353,1.1175396094372783,0.6333676938231112,1.7244123957684447,0.9841379303754475,0.9062529023519841,0.8937934293422962
1039,1.3110800076587368,0.789659044052542,0.6433554252224711,1.1637967071912698,1.1121811468428666,0.8233366343323065,3.6492418848804995,3.149458968749089,0.8942665267633839,0.7418841374331965,0.6068309995095971,1.3061285840966204,0.7669333506191766,0.5873098310696717,0.9452184328699071
1040,1.5337687605174222,0.9785053171961047,0.7221013706634714,0.7785373025317366,0.7571497947132824,0.8471699359811231,3.3833094720876447,3.3501320982145395,1.1320571821727479,1.2075329875494338,0.6602640781246099,1.5305753880825024,0.9567341463218083,0.8119331247348512,0.9286586035479876
1041,1.5463816198681346,1.2791239462644117,0.8882801298946372,0.9515548682872429,0.9358494440402167,0.8402894560140414,4.0272377682537295,3.7786420704722756,1.5565523015763651,1.7746811444887771,0.6380535849069913,1.543806239005271,1.2688640112270417,0.9005018964506681,0.9457418925976787
