,acc+eda_XAp0,acc+eda_XAp1,acc+eda_XAp2,acc+eda_XCond1,acc+eda_XCond2,acc+eda_XDist,acc+eda_XFuzz1,acc+eda_XFuzz2,acc+eda_XK2_1,acc+eda_XK2_2,acc+eda_XPermEn,acc+eda_XSamp0,acc+eda_XSamp1,acc+eda_XSamp2,acc+eda_XSpec
149,,0.0,0.0,1.23905638828796,1.220666223381138,0.8035495475187704,0.060798679487818946,0.08602266900862862,,,0.6425374456860184,inf,,,0.18111632669572075
150,,0.0,0.0,1.3650140336958914,1.2969035307644128,0.8430778951178829,0.17283737555966505,0.28445855719486157,,,0.6468212168108125,inf,,,0.17969316625323367
151,,0.0,0.0,1.7053747211038701,1.6833750502515417,0.9550687170038413,0.13763823787861837,0.27442877294298595,,,0.6207552362147116,inf,,,0.178333062254866
152,5.703782474656204,-2.0913869073739413,0.0,1.235717700374017,1.242859454969136,0.5632250807582292,0.14793864795239814,0.18478278506021764,,,0.6284777104787076,6.707084583519986,inf,,0.36529730917720643
153,5.472733414469553,-0.7255848688026957,-0.09532514336773723,1.3302700367458553,1.303467169465527,0.6562160667159822,0.22254762186069055,0.23401659953822251,2.989054471022962,,0.6153451465759925,7.313220387090301,2.4849066497880004,inf,0.35747979586761547
154,4.057380261989587,-0.44429768599630703,-3.53661152248314,1.3850151613967558,1.2729299574716437,0.7931564068599812,0.4429124432612458,0.2828976551149463,2.27336949743765,4.4649386195930045,0.6309483474627791,3.962731675420209,2.176975114828865,3.8815637979434374,0.2833607503320864
155,3.889629806119218,0.418695656985574,-4.043002773069504,1.5531903634213693,1.36767780397612,0.7624664596663363,0.39744659394836324,0.25294393184866176,2.1028411943860847,3.61573418093522,0.5978297680564633,3.7297014486341915,1.834319083646851,3.1354942159291497,0.3206837222854787
156,4.4720345297193305,-4.053364262760239,-0.41867026695909204,1.6915487533618703,1.5319684826708873,0.441831563742595,0.19789953955513134,0.06295970575784529,3.4682072949222853,,0.5978297680564633,4.406319327242926,3.08922261664133,inf,0.3357027785272665
157,5.703782474656201,-0.13308825774197802,0.0,1.0133373995665127,1.012194321584106,0.2989573483485066,0.027323042264724116,0.023017702115321177,,,0.6380535849069913,9.461654800257088,inf,,0.4666957868993017
158,,0.0,0.0,1.4088355415966567,1.41426273588034,0.2802729673476424,0.019691988499619284,0.012468031274568813,,,0.6233814453054027,inf,,,0.402469242470115
159,,0.0,0.0,1.4448707893908406,1.3803990030650701,0.8423295233357467,0.008620747337921104,0.019313716370921732,,,0.6528756675646988,inf,,,0.1664540032170324
160,,0.0,0.0,1.2798275875002718,1.2392834677479938,0.7976412625467043,0.032155874831501695,0.05773694149058022,,,0.6233814453054027,inf,,,0.1762273480343856
161,,0.0,0.0,1.4893508071077615,1.4798505556367911,0.8979843122429743,0.1002298342844897,0.12961573020156417,,,0.6333676938231112,inf,,,0.1693937826918353
162,,0.0,0.0,1.4360681325893896,1.4110303350736615,0.8940359631795,0.13839607330124454,0.20996371821689427,,,0.62595550513784,inf,,,0.1697634276642831
163,,0.0,0.0,1.1889562313712603,1.1344120917311757,0.6208101326326919,0.14122255361834363,0.21457864589692313,,,0.6125606311107803,inf,,,0.28861391697140815
164,5.660460775871204,-0.30189124137979756,0.0,1.2209646116023123,1.2161961595916322,0.5547150443501022,0.094069335512479,0.10326920056039895,,,0.6380535849069913,8.574351605256187,inf,,0.3469771790691407
165,,0.0,0.0,1.6415360343239416,1.643519109932136,0.4921234492057002,0.021442392108007607,0.019515056388021954,,,0.6233814453054027,inf,,,0.4095191116837835
166,,0.0,0.0,1.1630698214031752,1.139330825932426,0.7637088277512223,0.02028085771397472,0.031683564201639036,,,0.6008849035917525,inf,,,0.18709796189121364
167,,0.0,0.0,0.8237105326733275,0.8077490470779524,0.654080426506388,0.025309641758849772,0.033419125444209635,,,0.5748741956352443,inf,,,0.1811688921498901
168,,0.0,0.0,1.246499291103383,1.2301685724088873,0.7987418117253668,0.01676285089828114,0.0331122834127983,,,0.6233814453054027,inf,,,0.1897024524351054
169,,0.0,0.0,1.0669432764352775,1.0376749773765073,0.7398322265851659,0.020964570383278647,0.03376753613995273,,,0.6008849035917525,inf,,,0.18602433947707966
