,hr+bvp_XAp0,hr+bvp_XAp1,hr+bvp_XAp2,hr+bvp_XCond1,hr+bvp_XCond2,hr+bvp_XDist,hr+bvp_XFuzz1,hr+bvp_XFuzz2,hr+bvp_XK2_1,hr+bvp_XK2_2,hr+bvp_XPermEn,hr+bvp_XSamp0,hr+bvp_XSamp1,hr+bvp_XSamp2,hr+bvp_XSpec
519,0.6457345736887236,-0.004304897157924824,0.0,1.1751204908500559,1.1480264224790755,0.8171354488118342,4.5884821946242855,6.436054990336335,,,0.6547956803312163,5.524242560824123,inf,,0.6574823779164342
520,2.0258718161314193,-0.033764530268856986,0.0,1.2374697931160665,1.23110825684981,0.751664719038076,4.560264608410028,2.547213563935558,,,0.6509067234006624,5.943733144286792,inf,,0.6853173004256243
521,1.8681712904353323,-0.024908950539137765,0.0,1.2151485455218392,1.162401150881372,0.8208533598781843,4.362384413398009,12.33663558552816,,,0.6380535849069913,5.8507368876128645,inf,,0.8456459816686278
522,1.3588856634398183,-0.027177713268796366,0.0,1.331796913482285,1.299871048992844,0.7516567867262389,4.012964870995867,2.6100799867872455,,,0.6547956803312163,4.98757002116526,inf,,0.8065667641153885
523,1.207572760459617,-0.02012621267432695,0.0,1.252601291501734,1.2000119672425955,0.7892149589766111,4.2974674356408356,11.593589653134652,,,0.6153451465759925,5.129043525146558,inf,,0.9209430733291435
524,,0.0,0.0,1.0912335598670573,1.0235607798618906,0.7830279369257438,3.6642690787699483,6.677553792411324,,,0.62595550513784,inf,,,0.8034084255253998
525,,0.0,0.0,1.1384443629327017,1.1252880705990236,0.7804803950618298,3.624591512078757,5.4840543369573,,,0.5604843169999094,inf,,,0.9250305903614785
526,,0.0,0.0,1.445822383690775,1.4203190222521302,0.8463251974042093,3.590499612605876,19.526983926680572,,,0.581717464821069,inf,,,0.9189676325856049
527,,0.0,0.0,1.343598416991775,1.310500848553613,0.8550940815303065,3.768476057533104,4.23137556516763,,,0.6180765742263259,inf,,,0.9026096153683619
528,,0.0,0.0,0.7297677451596667,0.709028889230211,0.6437232416880656,3.3050006837262584,11.730990438502369,,,0.6333676938231112,inf,,,0.9420179390402839
529,2.000929223887746,-0.020009292238877457,0.0,1.0793953062477917,1.0484485093237992,0.7596977209277791,3.9257789462162416,2.702689146425485,,,0.6403206450210053,5.922768015821747,inf,,0.7181527756838623
530,1.0154095190512145,-0.013538793587349525,0.0,1.1198787196190465,1.1021562776283518,0.7455151212692259,4.159524394142829,9.63687328615374,,,0.6180765742263259,5.119706389150617,inf,,0.8378792112506718
531,1.4411025976148857,-0.004803675325382953,0.0,1.1352178018963786,1.0604766265822942,0.7368213946288067,4.039988747722911,5.362327500731716,,,0.6528756675646988,7.144885072271086,inf,,0.8246871609794324
532,1.4805324558606427,-0.014805324558606427,0.0,1.2770839702111834,1.2185169284168866,0.7469452477894271,3.6772843051022512,5.441374365085242,,,0.6822068148872973,6.0048875674401225,inf,,0.750381293237199
533,1.5481051294562878,-0.011423995056437528,-0.009217406669646308,1.0376863812638404,1.004290447170013,0.6563152908285633,3.9487555982058713,3.3248310674849866,5.565476229646736,,0.6668815377411301,5.835410917134637,2.627715053011324,inf,0.8672211715296044
534,1.8125873068624714,-0.012083915379083142,0.0,1.266814627344281,1.261262750992925,0.7496159510836136,4.286188625306242,27.86540568767466,,,0.6528756675646988,5.973842945758163,inf,,0.6879530169793894
